AFR,Afrikaans,ZA
AMH,አማርኛ,ET
ARA,العربية,SA
ARN,Mapudungun,CL
ASM,অসমীয়া,IN
AZE,Azərbaycan,AZ
BAK,Башҡорт,RU
BEL,Беларуская,BY
BEN,বাংলা,BD
BIN,Ẹ̀dó,NG
BOD,བོད་ཡིག,CN
BOS,Bosanski,BA
BRE,Brezhoneg,FR
BUL,Български,BG
CAT,Català,AD
CES,čeština,CZ
CHR,ᏣᎳᎩ,US
COS,Corsu,FR
CYM,Cymraeg,GB
DAN,Dansk,DK
DEU,Deutsch,DE
DIV,ދިވެހިބަސް,MV
DSB,Dolnoserbšćina,DE
DZO,རྫོང་ཁ,BT
ELL,Ελληνικά,GR
ENG,English,US
EST,Eesti,EE
EUS,Euskara,ES
FAO,Føroyskt,FO
FAS,فارسی,IR
FIL,Filipino,PH
FIN,Suomi,FI
FRA,Français,FR
FRY,Frysk,NL
FUL,Pulaar,SN
GLA,Gàidhlig,GB
GLE,Gaeilge,IE
GLG,Galego,ES
GRN,Avañe’ẽ,PY
GSW,Elsässisch,FR
GUJ,ગુજરાતી,IN
HAU,Hausa,NG
HAW,ʻŌlelo Hawaiʻi,US
HEB,עברית,IL
HIN,हिन्दी,IN
HRV,Hrvatski,HR
HSB,Hornjoserbšćina,DE
HUN,Magyar,HU
HYE,Հայերեն,AM
IBB,Ibibio-Efik,NG
IBO,Asụsụ Igbo,NG
III,ꆈꌠꁱꂷ,CN
IKU,Inuktitut,CA
IND,Indonesia,ID
ISL,íslenska,IS
ITA,Italiano,IT
JPN,日本語,JP
KAL,Kalaallisut,GL
KAN,ಕನ್ನಡ,IN
KAS,कॉशुर,IN
KAT,ქართული,GE
KAU,Kanuri,NG
KAZ,қазақ тілі,KZ
KHM,ខ្មែរ,KH
KIN,Kinyarwanda,RW
KIR,Кыргызча,KG
KOK,कोंकणी,IN
KOR,한국어,KR
KUR,کوردیی ناوەڕاست,IQ
LAO,ລາວ,LA
LAT,Lingua latīna,VA
LAV,Latviešu,LV
LIT,Lietuvių,LT
LTZ,Lëtzebuergesch,LU
MAL,മലയാളം,IN
MAR,मराठी,IN
MKD,Македонски,MK
MLT,Malti,MT
MNI,মৈতৈলোন্,IN
MOH,Kanien’kéha,CA
MON,Монгол,MN
MRI,Te reo Māori,NZ
MSA,Melayu,MY
MYA,မြန်မာ,MM
NEP,नेपाली,NP
NLD,Nederlands,NL
NNO,Nynorsk,NO
NOB,Norsk bokmål,NO
NSO,Sesotho sa Leboa,ZA
OCI,Occitan,FR
ORI,ଓଡ଼ିଆ,IN
ORM,Oromoo,ET
PAN,پنجابی,PK
PAP,Papiamentu,CW
POL,Polski,PL
POR,Português,BR
PRS,درى,AF
PUS,پښتو,AF
QUB,Runasimi,BO
QUC,K'iche',GT
QUE,Runasimi,PE
QUP,Runasimi,BO
ROH,Rumantsch,CH
RON,Română,RO
RUS,Русский,RU
SAH,Саха,RU
SAN,संस्कृत,IN
SIN,සිංහල,LK
SLK,Slovenčina,SK
SLV,Slovenščina,SI
SMA,åarjelsaemiengïele,SE
SME,Davvisámegiella,NO
SMJ,Julevusámegiella,NO
SMN,Anarâškielâ,FI
SMS,Sää´mǩiõll,FI
SND,سنڌي,PK
SOM,Soomaali,SO
SOT,Sesotho,ZA
SPA,Español,ES
SQI,Shqip,AL
SRP,Srpski,RS
SWA,Kiswahili,TZ
SWE,Svenska,SE
SYR,ܣܘܪܝܝܐ,IQ
TAM,தமிழ்,IN
TAT,Татар,RU
TEL,తెలుగు,IN
TGK,Тоҷикӣ,TJ
THA,ไทย,TH
TIR,ትግርኛ,ET
TSN,Setswana,BW
TSO,Xitsonga,ZA
TUK,Türkmen dili,TM
TUR,Türkçe,TR
TZM,Tamaziɣt n laṭlaṣ,MA
UIG,ئۇيغۇرچە,CN
UKR,Українська,UA
URD,اردو,PK
UZB,o‘zbek,UZ
VEN,Tshivenḓa,ZA
VIE,Tiếng Việt,VN
WOL,Wolof,SN
XHO,isiXhosa,ZA
YID,ייִדיש,IL
YOR,Èdè Yorùbá,NG
ZHO,中文,CN
ZUL,siZulu,ZA
